,property_type,sector,price,bedRoom,bathroom,balcony,floortype,agePossession,built_up_area,store room,study room,servant room,pooja room,others,furnishing_type,luxury_score
950,flat,sector 37d,0.68,2.0,2.0,3,med floor,New Property,644.0,0.0,0.0,0.0,0.0,1.0,0.0,medium
951,house,sector 31,3.69,4.0,4.0,2,low floor,Moderately Old,1557.0,0.0,1.0,1.0,1.0,0.0,1.0,medium
952,flat,sector 79,1.34,3.0,3.0,3,med floor,Relatively New,1423.0,0.0,0.0,0.0,0.0,0.0,0.0,high
953,flat,dwarka expressway,1.2,3.0,3.0,3+,med floor,Under Construction,1940.0,0.0,0.0,1.0,0.0,0.0,0.0,low
954,house,sector 7,3.0,7.0,7.0,0,med floor,Old Property,2610.0,0.0,0.0,0.0,0.0,0.0,0.0,low
955,house,sector 2,5.2,4.0,5.0,2,low floor,Moderately Old,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,low
956,flat,sector 70a,1.4,2.0,2.0,2,,Relatively New,1262.0,0.0,0.0,0.0,0.0,0.0,0.0,low
957,house,sector 109,8.75,5.0,5.0,3+,med floor,New Property,3600.0,1.0,1.0,1.0,1.0,0.0,1.0,high
958,flat,sector 83,1.1,3.0,3.0,3+,med floor,Relatively New,1600.0,0.0,0.0,0.0,0.0,0.0,1.0,medium
959,flat,sector 102,1.4,3.0,3.0,3,med floor,Relatively New,1315.0,0.0,0.0,1.0,0.0,0.0,0.0,medium
960,house,sector 109,8.48,4.0,6.0,3+,med floor,New Property,3600.0,1.0,1.0,1.0,1.0,0.0,0.0,high
961,flat,sector 109,1.75,3.0,4.0,3+,med floor,Relatively New,1797.0,0.0,0.0,1.0,0.0,0.0,0.0,high
962,flat,sector 86,1.54,4.0,4.0,3+,,Moderately Old,2139.0,0.0,1.0,1.0,1.0,0.0,0.0,medium
963,flat,sector 65,2.1,2.0,2.0,2,,New Property,1186.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
964,flat,sector 99,2.45,3.0,4.0,3,low floor,New Property,2516.0,0.0,0.0,1.0,0.0,0.0,1.0,high
965,flat,sector 102,2.2,3.0,4.0,3+,,Relatively New,1186.0,0.0,1.0,1.0,0.0,0.0,1.0,low
966,flat,sohna road,0.24,1.0,1.0,2,low floor,New Property,360.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
967,house,sector 9,3.4,9.0,9.0,3,med floor,Moderately Old,2628.0,0.0,0.0,0.0,0.0,0.0,1.0,medium
968,flat,sector 95,0.38,3.0,2.0,1,low floor,Relatively New,716.0,0.0,0.0,0.0,1.0,0.0,1.0,medium
969,flat,sector 111,0.36,1.0,1.0,1,med floor,Relatively New,450.0,0.0,0.0,0.0,0.0,0.0,0.0,low
970,flat,sector 53,4.8,3.0,4.0,3+,med floor,Relatively New,2500.0,0.0,0.0,1.0,1.0,1.0,1.0,high
971,flat,sohna road,0.27,2.0,2.0,2,med floor,Relatively New,619.0,0.0,0.0,0.0,0.0,0.0,0.0,low
972,flat,sector 85,2.05,4.0,4.0,3+,med floor,Relatively New,2500.0,0.0,0.0,1.0,0.0,0.0,1.0,low
973,flat,sector 89,0.97,2.0,2.0,2,low floor,New Property,1371.0,0.0,1.0,0.0,0.0,0.0,0.0,low
974,flat,sohna road,0.25,2.0,2.0,1,med floor,Relatively New,535.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
975,flat,sector 51,0.71,2.0,2.0,1,med floor,Relatively New,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,low
976,flat,sector 70a,1.3,2.0,2.0,3,,Moderately Old,1426.0,0.0,0.0,0.0,0.0,0.0,1.0,low
977,flat,sector 84,0.41,2.0,2.0,2,med floor,New Property,565.0,0.0,0.0,0.0,0.0,0.0,1.0,low
978,flat,sector 21,0.8,2.0,2.0,2,med floor,Old Property,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,low
979,flat,sector 102,1.95,3.0,3.0,3,high floor,New Property,1465.0,1.0,0.0,0.0,0.0,0.0,0.0,medium
980,flat,sector 86,1.4,4.0,4.0,3+,,Relatively New,2132.0,0.0,0.0,1.0,1.0,0.0,0.0,medium
981,flat,sector 69,1.55,3.0,3.0,2,low floor,Relatively New,1455.0,0.0,0.0,0.0,1.0,0.0,1.0,medium
982,flat,sohna road,1.1,2.0,2.0,3+,,Relatively New,1319.0,0.0,1.0,0.0,0.0,1.0,1.0,low
983,flat,sector 108,1.2,3.0,2.0,3+,high floor,Relatively New,1550.0,0.0,0.0,1.0,1.0,0.0,1.0,high
984,house,sector 109,12.5,5.0,6.0,3,med floor,Relatively New,4500.0,1.0,1.0,1.0,1.0,0.0,0.0,medium
985,house,sector 39,1.8,1.0,1.0,2,med floor,Relatively New,800.0,0.0,0.0,0.0,0.0,0.0,0.0,low
986,flat,sector 1,0.85,3.0,3.0,3+,med floor,Relatively New,2081.0,0.0,0.0,1.0,0.0,0.0,0.0,low
